"","year","category","winner","entity","budget","company","country","director","genre","gross","rating","released","runtime"
"581",1990,"WRITING (Screenplay Written Directly for the Screen)",FALSE,"Metropolitan",225000,"Westerly Films","USA","Whit Stillman","Comedy",2938208,"PG-13","1990-08-03",98
"582",1990,"SPECIAL ACHIEVEMENT AWARD (Visual Effects)",TRUE,"Total Recall",NA,NA,NA,NA,NA,NA,NA,NA,NA
"583",1990,"HONORARY AWARD",TRUE,"To Sophia Loren, one of the genuine treasures of world cinema who, in a career rich with memorable performances, has added permanent luster to our art form.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"584",1990,"HONORARY AWARD",TRUE,"To Myrna Loy, in recognition of her extraordinary qualities both on screen and off, with appreciation for a lifetime's worth of indelible performances.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"585",1990,"IRVING G. THALBERG MEMORIAL AWARD",TRUE,"David Brown and Richard D. Zanuck",NA,NA,NA,NA,NA,NA,NA,NA,NA
"586",1990,"GORDON E. SAWYER AWARD",TRUE,"Stefan Kudelski",NA,NA,NA,NA,NA,NA,NA,NA,NA
"587",1990,"SCIENTIFIC OR TECHNICAL AWARD (Academy Award of Merit)",TRUE,"To EASTMAN KODAK COMPANY for the development of T-Grain technology and the introduction of EXR color negative films which utilize this technology.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"588",1990,"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)",TRUE,"To BRUCE WILTON and CARLOS ICINKOFF of Mechanical Concepts, Incorporated, for the development of the Mechanical Concepts Optical Printer Platform.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"589",1990,"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)",TRUE,"To the ENGINEERING DEPARTMENT OF ARNOLD & RICHTER for the continued design improvements of the Arriflex BL Camera System, culminating in the 35BL-4S model.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"590",1990,"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)",TRUE,"To the FUJI PHOTO FILM COMPANY, LIMITED, for the development and introduction of the F-Series of color negative films covering the range of film speeds from EI 64 to EI 500.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"591",1990,"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)",TRUE,"To MANFRED G. MICHELSON of Technical Film Systems, Incorporated, for the design and development of the first sprocket-driven film transport system for color print film processors which permits transport speeds in excess of 600 feet per minute.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"592",1990,"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)",TRUE,"To JOHN W. LANG, WALTER HRASTNIK and CHARLES J. WATSON of Bell and Howell Company for the development and manufacture of a modular continuous contact motion picture film printer.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"593",1990,"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)",TRUE,"To WILLIAM L. BLOWERS of Belco Associates, Incorporated and THOMAS F. DENOVE for the development and manufacture of the Belco/Denove Cinemeter.  This digital/analog exposure meter was specifically and uniquely designed for the cinematographer.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"594",1990,"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)",TRUE,"To IAIN NEIL for optical design; TAKUO MIYAGISHIMA for the mechanical design; and PANAVISION, INCORPORATED, for the concept and development of the Primo Series of spherical prime lenses for 35mm cinematography.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"595",1990,"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)",TRUE,"To CHRISTOPHER S. GILMAN and HARVEY HUBERT, JR. of the Diligent Dwarves Effects Lab for the development of the Actor Climate System, consisting of heat-transferring undergarments.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"596",1990,"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)",TRUE,"To JIM GRAVES of J&G Enterprises for the development of the Cool Suit System, consisting of heat-transferring undergarments.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"597",1990,"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)",TRUE,"To BENGT O. ORHALL, KENNETH LUND, BJORN SELIN and KJELL HOGBERG of AB Film-Teknik for the development and manufacture of the Mark IV film subtitling processor, which has increased the speed, simplified the operation and improved the quality of subtitling.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"598",1990,"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)",TRUE,"To RICHARD MULA and PETE ROMANO of HydroImage, Incorporated, for the development of the SeaPar 1200 watt HMI Underwater Lamp.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"599",1990,"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)",TRUE,"To DEDO WEIGERT of Dedo Weigert Film GmbH for the development of the Dedolight, a miniature low-voltage tungsten-halogen lighting fixture.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"600",1990,"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)",TRUE,"To DR. FRED KOLB, JR. and PAUL PREO for the concept and development of a 35mm projection test film.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"601",1990,"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)",TRUE,"To PETER BALDWIN for the design; DR. PAUL KIANKHOOY and the LIGHTMAKER COMPANY for the development of the Lightmaker AC/DC HMI Ballast.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"602",1990,"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)",TRUE,"To the ALL-UNION CINEMA AND PHOTO RESEARCH INSTITUTE (NIKFI) for continuously improving and providing 3-D presentations to Soviet motion picture audiences for the last 25 years.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"603",1990,"MEDAL OF COMMENDATION",TRUE,"To Roderick T. Ryan in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"604",1990,"MEDAL OF COMMENDATION",TRUE,"To Don Trumbull in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"605",1990,"MEDAL OF COMMENDATION",TRUE,"To Geoffrey H. Williamson in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"606",1991,"ACTOR IN A LEADING ROLE",FALSE,"Warren Beatty",NA,NA,NA,NA,NA,NA,NA,NA,NA
"607",1991,"ACTOR IN A LEADING ROLE",FALSE,"Robert De Niro",NA,NA,NA,NA,NA,NA,NA,NA,NA
"608",1991,"ACTOR IN A LEADING ROLE",TRUE,"Anthony Hopkins",NA,NA,NA,NA,NA,NA,NA,NA,NA
"609",1991,"ACTOR IN A LEADING ROLE",FALSE,"Nick Nolte",NA,NA,NA,NA,NA,NA,NA,NA,NA
"610",1991,"ACTOR IN A LEADING ROLE",FALSE,"Robin Williams",NA,NA,NA,NA,NA,NA,NA,NA,NA
"611",1991,"ACTOR IN A SUPPORTING ROLE",FALSE,"Tommy Lee Jones",NA,NA,NA,NA,NA,NA,NA,NA,NA
"612",1991,"ACTOR IN A SUPPORTING ROLE",FALSE,"Harvey Keitel",NA,NA,NA,NA,NA,NA,NA,NA,NA
"613",1991,"ACTOR IN A SUPPORTING ROLE",FALSE,"Ben Kingsley",NA,NA,NA,NA,NA,NA,NA,NA,NA
"614",1991,"ACTOR IN A SUPPORTING ROLE",FALSE,"Michael Lerner",NA,NA,NA,NA,NA,NA,NA,NA,NA
"615",1991,"ACTOR IN A SUPPORTING ROLE",TRUE,"Jack Palance",NA,NA,NA,NA,NA,NA,NA,NA,NA
"616",1991,"ACTRESS IN A LEADING ROLE",FALSE,"Geena Davis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"617",1991,"ACTRESS IN A LEADING ROLE",FALSE,"Laura Dern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"618",1991,"ACTRESS IN A LEADING ROLE",TRUE,"Jodie Foster",NA,NA,NA,NA,NA,NA,NA,NA,NA
"619",1991,"ACTRESS IN A LEADING ROLE",FALSE,"Bette Midler",NA,NA,NA,NA,NA,NA,NA,NA,NA
"620",1991,"ACTRESS IN A LEADING ROLE",FALSE,"Susan Sarandon",NA,NA,NA,NA,NA,NA,NA,NA,NA
"621",1991,"ACTRESS IN A SUPPORTING ROLE",FALSE,"Diane Ladd",NA,NA,NA,NA,NA,NA,NA,NA,NA
"622",1991,"ACTRESS IN A SUPPORTING ROLE",FALSE,"Juliette Lewis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"623",1991,"ACTRESS IN A SUPPORTING ROLE",FALSE,"Kate Nelligan",NA,NA,NA,NA,NA,NA,NA,NA,NA
"624",1991,"ACTRESS IN A SUPPORTING ROLE",TRUE,"Mercedes Ruehl",NA,NA,NA,NA,NA,NA,NA,NA,NA
"625",1991,"ACTRESS IN A SUPPORTING ROLE",FALSE,"Jessica Tandy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"626",1991,"ART DIRECTION",FALSE,"Barton Fink",9e+06,"Circle Films","USA","Joel Coen","Comedy",6153939,"R","1991-08-21",116
"627",1991,"ART DIRECTION",TRUE,"Bugsy",3e+07,"TriStar Pictures","USA","Barry Levinson","Biography",49114016,"R","1991-12-20",136
"628",1991,"ART DIRECTION",FALSE,"The Fisher King",2.4e+07,"TriStar Pictures","USA","Terry Gilliam","Comedy",41895491,"R","1991-09-27",137
"629",1991,"ART DIRECTION",FALSE,"Hook",7e+07,"Amblin Entertainment","USA","Steven Spielberg","Adventure",119654823,"PG","1991-12-11",142
"630",1991,"ART DIRECTION",FALSE,"The Prince of Tides",3e+07,"Columbia Pictures Corporation","USA","Barbra Streisand","Drama",74787599,"R","1991-12-25",132
"631",1991,"CINEMATOGRAPHY",FALSE,"Bugsy",3e+07,"TriStar Pictures","USA","Barry Levinson","Biography",49114016,"R","1991-12-20",136
"632",1991,"CINEMATOGRAPHY",TRUE,"JFK",4e+07,"Warner Bros.","France","Oliver Stone","Drama",70405498,"R","1991-12-20",189
"633",1991,"CINEMATOGRAPHY",FALSE,"The Prince of Tides",3e+07,"Columbia Pictures Corporation","USA","Barbra Streisand","Drama",74787599,"R","1991-12-25",132
"634",1991,"CINEMATOGRAPHY",FALSE,"Terminator 2: Judgment Day",1.02e+08,"Carolco Pictures","USA","James Cameron","Action",204843350,"R","1991-07-03",137
"635",1991,"CINEMATOGRAPHY",FALSE,"Thelma & Louise",16500000,"Path<e9> Entertainment","USA","Ridley Scott","Adventure",45361000,"R","1991-05-24",130
"636",1991,"COSTUME DESIGN",FALSE,"The Addams Family",3e+07,"Metro-Goldwyn-Mayer (MGM)","USA","Barry Sonnenfeld","Comedy",113502000,"PG-13","1991-11-22",99
"637",1991,"COSTUME DESIGN",FALSE,"Barton Fink",9e+06,"Circle Films","USA","Joel Coen","Comedy",6153939,"R","1991-08-21",116
"638",1991,"COSTUME DESIGN",TRUE,"Bugsy",3e+07,"TriStar Pictures","USA","Barry Levinson","Biography",49114016,"R","1991-12-20",136
"639",1991,"COSTUME DESIGN",FALSE,"Hook",7e+07,"Amblin Entertainment","USA","Steven Spielberg","Adventure",119654823,"PG","1991-12-11",142
"640",1991,"COSTUME DESIGN",FALSE,"Madame Bovary",0,"MK2 Productions","France","Claude Chabrol","Drama",1942424,"PG-13","1991-12-25",143
"641",1991,"DIRECTING",FALSE,"Boyz N the Hood",NA,NA,NA,NA,NA,NA,NA,NA,NA
"642",1991,"DIRECTING",FALSE,"Bugsy",3e+07,"TriStar Pictures","USA","Barry Levinson","Biography",49114016,"R","1991-12-20",136
"643",1991,"DIRECTING",FALSE,"JFK",4e+07,"Warner Bros.","France","Oliver Stone","Drama",70405498,"R","1991-12-20",189
"644",1991,"DIRECTING",TRUE,"The Silence of the Lambs",1.9e+07,"Strong Heart/Demme Production","USA","Jonathan Demme","Crime",130742922,"R","1991-02-14",118
"645",1991,"DIRECTING",FALSE,"Thelma & Louise",16500000,"Path<e9> Entertainment","USA","Ridley Scott","Adventure",45361000,"R","1991-05-24",130
"646",1991,"DOCUMENTARY (Feature)",FALSE,"Death on the Job",NA,NA,NA,NA,NA,NA,NA,NA,NA
"647",1991,"DOCUMENTARY (Feature)",FALSE,"Doing Time: Life inside the Big House",NA,NA,NA,NA,NA,NA,NA,NA,NA
"648",1991,"DOCUMENTARY (Feature)",TRUE,"In the Shadow of the Stars",NA,NA,NA,NA,NA,NA,NA,NA,NA
"649",1991,"DOCUMENTARY (Feature)",FALSE,"The Restless Conscience",NA,NA,NA,NA,NA,NA,NA,NA,NA
"650",1991,"DOCUMENTARY (Feature)",FALSE,"Wild by Law",NA,NA,NA,NA,NA,NA,NA,NA,NA
"651",1991,"DOCUMENTARY (Short Subject)",FALSE,"Birdnesters of Thailand (aka 'Shadow Hunters')",NA,NA,NA,NA,NA,NA,NA,NA,NA
"652",1991,"DOCUMENTARY (Short Subject)",TRUE,"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",NA,NA,NA,NA,NA,NA,NA,NA,NA
"653",1991,"DOCUMENTARY (Short Subject)",FALSE,"A Little Vicious",NA,NA,NA,NA,NA,NA,NA,NA,NA
"654",1991,"DOCUMENTARY (Short Subject)",FALSE,"The Mark of the Maker",NA,NA,NA,NA,NA,NA,NA,NA,NA
"655",1991,"DOCUMENTARY (Short Subject)",FALSE,"Memorial: Letters from American Soldiers",NA,NA,NA,NA,NA,NA,NA,NA,NA
"656",1991,"FILM EDITING",FALSE,"The Commitments",0,"Beacon Communications","Ireland","Alan Parker","Comedy",14919570,"R","1991-09-13",118
"657",1991,"FILM EDITING",TRUE,"JFK",4e+07,"Warner Bros.","France","Oliver Stone","Drama",70405498,"R","1991-12-20",189
"658",1991,"FILM EDITING",FALSE,"The Silence of the Lambs",1.9e+07,"Strong Heart/Demme Production","USA","Jonathan Demme","Crime",130742922,"R","1991-02-14",118
"659",1991,"FILM EDITING",FALSE,"Terminator 2: Judgment Day",1.02e+08,"Carolco Pictures","USA","James Cameron","Action",204843350,"R","1991-07-03",137
"660",1991,"FILM EDITING",FALSE,"Thelma & Louise",16500000,"Path<e9> Entertainment","USA","Ridley Scott","Adventure",45361000,"R","1991-05-24",130
"661",1991,"FOREIGN LANGUAGE FILM",FALSE,"Children of Nature",NA,NA,NA,NA,NA,NA,NA,NA,NA
"662",1991,"FOREIGN LANGUAGE FILM",FALSE,"The Elementary School",NA,NA,NA,NA,NA,NA,NA,NA,NA
"663",1991,"FOREIGN LANGUAGE FILM",TRUE,"Mediterraneo",0,"A.M.A. Film","Italy","Gabriele Salvatores","Comedy",4532791,"R","1991-01-31",96
"664",1991,"FOREIGN LANGUAGE FILM",FALSE,"The Ox",NA,NA,NA,NA,NA,NA,NA,NA,NA
